# BUSCO version is: 3.1.0 
# The lineage dataset is: fungi_odb9 (Creation date: 2016-02-13, number of species: 85, number of BUSCOs: 290)
# To reproduce this run: python /busco/scripts/run_BUSCO.py -i Tatroviridev2_Proteins.proteins.fasta -o busco_search_ref -l fungi_odb9/ -m proteins -c 3
#
# Busco id	Status	Sequence	Score	Length
EOG092C00SU	Complete	jgi|Triat2|223130|estExt_Genewise1Plus.C_contig_251047	592.4	827
EOG092C00WD	Complete	jgi|Triat2|137902|Triat1.estExt_Genewise1.C_30744	1863.2	1355
EOG092C02J3	Complete	jgi|Triat2|133110|Triat1.estExt_fgenesh1_pg.C_100330	1731.3	1290
EOG092C038B	Complete	jgi|Triat2|282724|estExt_fgenesh1_pg.C_contig_210405	676.0	630
EOG092C03KT	Complete	jgi|Triat2|292018|estExt_fgenesh1_pm.C_contig_230159	576.0	739
EOG092C07CA	Complete	jgi|Triat2|80500|Triat1.fgenesh1_pm.C_scaffold_6000147	1169.7	843
EOG092C08KH	Complete	jgi|Triat2|225747|estExt_Genewise1Plus.C_contig_261864	1247.3	863
EOG092C097K	Complete	jgi|Triat2|127329|Triat1.estExt_fgenesh1_pm.C_10998	821.8	603
EOG092C0B3U	Complete	jgi|Triat2|149406|Triat1.estExt_Genewise1Plus.C_21251	756.6	666
EOG092C0BAH	Complete	jgi|Triat2|128921|Triat1.estExt_fgenesh1_pm.C_100043	1153.4	846
EOG092C0BPW	Complete	jgi|Triat2|209520|e_gw1.29.466.1	499.8	498
EOG092C0C5J	Complete	jgi|Triat2|147706|Triat1.estExt_Genewise1Plus.C_12293	1434.8	943
EOG092C0C7Z	Complete	jgi|Triat2|31448|Triat1.e_gw1.1.1251.1	385.2	436
EOG092C0CHR	Complete	jgi|Triat2|222069|estExt_Genewise1Plus.C_contig_241897	1269.1	828
EOG092C0CZK	Complete	jgi|Triat2|48211|Triat1.e_gw1.11.14.1	667.0	895
EOG092C0F0X	Complete	jgi|Triat2|132354|Triat1.estExt_fgenesh1_pg.C_60431	960.7	695
EOG092C0I1P	Complete	jgi|Triat2|249572|estExt_Genewise1.C_contig_271351	987.7	571
EOG092C0JYF	Complete	jgi|Triat2|152656|Triat1.estExt_Genewise1Plus.C_51365	786.2	754
EOG092C0K4D	Complete	jgi|Triat2|149621|Triat1.estExt_Genewise1Plus.C_21597	950.3	765
EOG092C0KG1	Complete	jgi|Triat2|49369|Triat1.e_gw1.12.92.1	600.4	600
EOG092C0KYA	Complete	jgi|Triat2|47694|Triat1.e_gw1.10.1083.1	299.4	329
EOG092C0N3X	Complete	jgi|Triat2|301595|estExt_fgenesh1_kg.C_contig_270229	665.5	542
EOG092C0OA7	Complete	jgi|Triat2|252337|estExt_Genewise1.C_contig_280458	458.8	545
EOG092C0P21	Complete	jgi|Triat2|153342|Triat1.estExt_Genewise1Plus.C_61174	1143.7	737
EOG092C0QZM	Complete	jgi|Triat2|131893|Triat1.estExt_fgenesh1_pg.C_40624	1130.3	793
EOG092C0RGR	Complete	jgi|Triat2|320589|estExt_Genemark.C_contig_260898	807.9	658
EOG092C0ROF	Complete	jgi|Triat2|285722|estExt_fgenesh1_pg.C_contig_260630	563.7	516
EOG092C0ST1	Complete	jgi|Triat2|299956|estExt_fgenesh1_kg.C_contig_240366	1046.9	593
EOG092C0TYK	Complete	jgi|Triat2|229290|estExt_Genewise1Plus.C_contig_273161	322.4	258
EOG092C0U5S	Complete	jgi|Triat2|147719|Triat1.estExt_Genewise1Plus.C_12322	601.7	560
EOG092C0UR7	Complete	jgi|Triat2|265090|fgenesh1_pm.contig_24_#_485	576.2	441
EOG092C0VEN	Complete	jgi|Triat2|128033|Triat1.estExt_fgenesh1_pm.C_40171	719.3	528
EOG092C0WBD	Complete	jgi|Triat2|90717|Triat1.fgenesh1_pg.C_scaffold_9000063	673.5	485
EOG092C0WZC	Complete	jgi|Triat2|156750|Triat1.estExt_Genewise1Plus.C_130461	484.4	394
