# BUSCO version is: 3.1.0 
# The lineage dataset is: fungi_odb9 (Creation date: 2016-02-13, number of species: 85, number of BUSCOs: 290)
# To reproduce this run: python /busco/scripts/run_BUSCO.py -i augustus.hints.aa -o busco_search_alt -l fungi_odb9/ -m proteins -c 3
#
# Busco id	Status	Sequence	Score	Length
EOG092C00SU	Complete	g10916.t1	592.4	827
EOG092C00WD	Complete	g10729.t1	1863.2	1355
EOG092C02J3	Complete	g8979.t1	1731.3	1290
EOG092C038B	Complete	g733.t1	676.0	630
EOG092C03KT	Complete	g8145.t1	574.3	754
EOG092C07CA	Complete	g1110.t1	1169.7	843
EOG092C08KH	Complete	g3283.t1	1247.3	863
EOG092C097K	Complete	g5068.t1	821.8	603
EOG092C0B3U	Complete	g2999.t1	756.6	666
EOG092C0BAH	Complete	g9301.t1	1153.4	846
EOG092C0BPW	Complete	g9787.t1	500.0	498
EOG092C0C5J	Complete	g4490.t1	1434.8	943
EOG092C0C7Z	Complete	g4767.t1	385.2	436
EOG092C0CHR	Complete	g7830.t1	1269.1	828
EOG092C0CZK	Complete	g9783.t1	665.8	887
EOG092C0F0X	Complete	g1268.t1	960.7	695
EOG092C0I1P	Complete	g4663.t1	987.7	571
EOG092C0JYF	Complete	g8013.t1	767.7	754
EOG092C0K4D	Complete	g2838.t1	950.3	765
EOG092C0KG1	Complete	g1485.t1	600.4	600
EOG092C0KYA	Complete	g9151.t1	302.2	299
EOG092C0N3X	Complete	g5008.t1	665.5	542
EOG092C0OA7	Complete	g1000.t1	476.1	503
EOG092C0P21	Complete	g1317.t1	1143.7	737
EOG092C0QZM	Complete	g7146.t1	1130.3	793
EOG092C0RGR	Complete	g3256.t1	807.9	658
EOG092C0ROF	Complete	g3017.t1	563.7	516
EOG092C0ST1	Complete	g7590.t1	1046.9	593
EOG092C0TYK	Complete	g3871.t1	322.4	258
EOG092C0U5S	Complete	g4502.t1	601.7	560
EOG092C0UR7	Complete	g7580.t1	576.2	441
EOG092C0VEN	Complete	g7605.t1	719.3	528
EOG092C0WBD	Complete	g722.t1	673.5	485
EOG092C0WZC	Complete	g2090.t1	484.4	394
EOG092C0XD0	Complete	g4934.t1	302.2	288
EOG092C0Y9M	Complete	g10723.t1	137.2	150
EOG092C0YZZ	Complete	g4481.t1	715.5	469
EOG092C0ZT0	Complete	g4552.t1	545.2	448
EOG092C11L7	Complete	g9330.t1	640.1	440
EOG092C11NN	Complete	g4919.t1	951.3	529
EOG092C121R	Duplicated	g3960.t1	621.8	564
EOG092C121R	Duplicated	g6565.t1	570.1	530
EOG092C12O0	Complete	g3939.t1	771.6	435
EOG092C12WO	Complete	g1339.t1	460.4	454
EOG092C19ZG	Complete	g5488.t1	1306.6	932
EOG092C1AHP	Complete	g5272.t1	379.6	420
EOG092C1F4W	Complete	g2075.t1	937.2	456
EOG092C1FRM	Complete	g9013.t1	429.1	446
EOG092C1ILX	Complete	g4841.t1	201.0	223
EOG092C1JHE	Complete	g5736.t1	142.3	180
EOG092C1KCQ	Complete	g9603.t1	633.4	440
EOG092C1KNC	Complete	g9779.t1	338.7	303
EOG092C1M1S	Complete	g1243.t1	514.0	447
EOG092C1O5L	Complete	g5141.t1	676.8	507
EOG092C1OUP	Complete	g1612.t1	604.6	451
EOG092C1PRY	Complete	g8765.t1	579.8	405
EOG092C1RXZ	Complete	g996.t1	638.2	419
EOG092C1TLO	Complete	g10785.t1	613.8	561
EOG092C1U6R	Complete	g2594.t1	600.1	386
EOG092C1UDO	Complete	g1341.t1	540.0	338
EOG092C1URX	Complete	g4974.t1	615.2	366
EOG092C1VMQ	Complete	g7930.t1	500.6	371
EOG092C1VT8	Complete	g6041.t1	637.8	406
EOG092C1W1B	Complete	g3038.t1	703.6	504
EOG092C1WBG	Complete	g4121.t1	427.5	434
EOG092C1YG7	Complete	g10001.t1	401.4	276
EOG092C1ZRG	Complete	g7722.t1	399.2	274
EOG092C20OL	Complete	g10535.t1	344.7	303
EOG092C21L2	Complete	g3894.t1	680.6	410
EOG092C221B	Complete	g3600.t1	104.2	146
EOG092C22C1	Complete	g3037.t1	567.3	389
EOG092C236M	Complete	g7699.t1	583.4	436
EOG092C23X9	Complete	g8517.t1	567.6	401
EOG092C24CZ	Complete	g9998.t1	873.1	430
EOG092C24GU	Complete	g7306.t1	556.9	430
EOG092C27SX	Complete	g2022.t1	268.0	251
EOG092C28F5	Complete	g8701.t1	547.5	301
EOG092C28I3	Complete	g5483.t1	1044.4	620
EOG092C2D1V	Complete	g8494.t1	694.7	430
EOG092C2DPS	Complete	g3119.t1	487.6	354
EOG092C2GKC	Complete	g7287.t1	523.3	364
EOG092C2GWG	Complete	g9155.t1	108.4	83
EOG092C2HER	Complete	g9068.t1	298.8	228
EOG092C2IFF	Complete	g5447.t1	470.1	369
EOG092C2IG9	Complete	g1109.t1	289.4	208
EOG092C2JLG	Complete	g7531.t1	254.4	211
EOG092C2LSI	Complete	g8078.t1	274.4	206
EOG092C2M8E	Complete	g1948.t1	186.3	232
EOG092C2MTS	Complete	g9042.t1	269.3	279
EOG092C2OKO	Complete	g5106.t1	626.5	340
EOG092C2Q7B	Complete	g3042.t1	169.7	181
EOG092C2Q7F	Complete	g10560.t1	671.5	439
EOG092C2RKX	Complete	g1227.t1	252.8	340
EOG092C2S2R	Complete	g8408.t1	203.1	262
EOG092C2S9V	Complete	g1472.t1	694.4	370
EOG092C2SCC	Complete	g4742.t1	623.4	341
EOG092C2SEF	Complete	g1602.t1	649.6	356
EOG092C2SKV	Complete	g3430.t1	490.2	362
EOG092C2SMS	Complete	g11043.t1	220.5	182
EOG092C2TXG	Complete	g10523.t1	498.3	419
EOG092C2UIQ	Complete	g8229.t1	529.3	388
EOG092C2V3O	Complete	g2992.t1	613.9	364
EOG092C2VGW	Complete	g1207.t1	405.7	352
EOG092C2VJL	Complete	g10019.t1	500.2	335
EOG092C2X60	Complete	g4908.t1	108.0	129
EOG092C2X6U	Complete	g974.t1	620.8	387
EOG092C2YBO	Complete	g6671.t1	515.5	307
EOG092C2Z4E	Complete	g3172.t1	300.3	289
EOG092C2ZCA	Complete	g5034.t1	416.7	302
EOG092C317A	Complete	g1610.t1	431.5	296
EOG092C31ZS	Complete	g1337.t1	552.7	389
EOG092C330M	Complete	g1614.t1	403.2	304
EOG092C33JO	Complete	g11054.t1	392.4	314
EOG092C34FN	Complete	g6360.t1	320.5	236
EOG092C34KH	Complete	g5060.t1	391.8	329
EOG092C355W	Complete	g5645.t1	482.6	402
EOG092C35RK	Complete	g8705.t1	324.0	234
EOG092C35SR	Complete	g3906.t1	619.2	379
